node1,node2,relation
CID000003222,CID000004674,C0013404
CID000004173,CID000123620,C0012813
CID000000861,CID000002771,C0029442
CID000002666,CID000005203,C0019322
CID000003121,CID000005077,C0038220
445582,7702,interacts
CID000002995,CID000003440,C0043096
CID000060831,CID005487301,C0004238
CID000003367,CID000005372,C0041909
CID000005073,CID005481350,C0012833
CID000004138,CID000004691,C0003507
CID000003405,CID000005538,C0009938
CID000001302,CID000004635,C0002994
6756,4100,interacts
9948,7874,interacts
CID000000772,CID000151165,C0004030
CID000093860,CID003085017,C0004093
CID000005039,CID000005064,C1384666
CID000002666,CID000002678,C0007787
CID000003255,CID000003405,C0398353
CID000003958,CID000005095,C0006325
CID000003148,CID000003476,C0038002
CID000005234,CID000054688,C0011991
CID000000271,CID000003121,C0018824
CID000001117,CID000003062,C0242184
CID000004091,CID000062924,C0220983
CID000004509,CID000004595,C0018021
CID000002520,CID000003929,C0004604
CID000004927,CID000005035,C0020649
CID000004691,CID005481350,C0020621
259296,10022,interacts
CID000000143,CID000003750,C0014869
CID000003333,CID000004856,C0497247
CID000005735,CID000123620,C0030196
CID000005002,CID000060795,C0025160
834,9447,interacts
CID000001690,CID000005038,C0030196
CID000002764,CID005311297,C0042963
3363,10268,interacts
CID000002617,CID000002658,C0003467
CID000002083,CID000005379,C0014457
CID000003348,CID000004585,C0019080
CID000000581,CID000003325,C0042109
CID000004829,CID000150311,C0020162
CID000002153,CID000054688,C0151636
CID000005472,CID000054454,C0020651
CID000002118,CID000003823,C0003467
401036,51191,interacts
CID000005379,CID000060164,C0035078
5309,9112,interacts
CID000002585,CID000003222,C0042769
CID000001983,CID000005401,C0027707
CID000003385,CID000083786,C0085786
CID000003308,CID000003404,C0013295
7458,1983,interacts
CID000004635,CID000005002,C0003467
CID000004634,CID000005512,C0242422
CID000004900,CID006398525,C0013144
CID000003883,CID005493381,C0521620
CID000001302,CID000002585,C0022408
CID000003463,CID000004510,C0004239
CID000002477,CID000003325,C0917799
CID000004170,CID000005090,C0151636
CID000004168,CID000054374,C0003962
CID000004189,CID000005391,C0003123
3845,79070,interacts
CID000002099,CID000054454,C0017168
CID000004894,CID000125889,C0004134
CID000003003,CID000004509,C0020598
CID000005391,CID000005512,C0039503
2764,1429,interacts
CID000004170,CID000005533,C0028754
CID000003899,CID000004052,C0003872
CID000003161,CID000003478,C0011175
CID000003899,CID000004253,C0041657
CID000005038,CID005311039,C0002871
CID000001972,CID000083786,C0035222
CID000060147,CID005281007,C0037199
CID000003365,CID000005645,C0018801
CID000004058,CID000004509,C0020433
CID000004158,CID000005647,C0242362
CID000002250,CID000004635,C0028084
CID000003640,CID000005538,C0041912
CID000001690,CID000004253,C0011168
CID000002666,CID000003463,C0006325
CID000001983,CID000002662,C0018916
CID000001983,CID000003749,C0020538
CID000000861,CID000003075,C0033860
CID000003008,CID000038904,C0011175
6125,6167,interacts
8500,80262,interacts
CID000002477,CID000087177,C0085584
CID000001983,CID000002550,C0522055
CID000002435,CID000130881,C0151827
CID000005732,CID000163742,C0232492
CID000000143,CID000002764,C0018681
CID000001978,CID000005039,C0042798
CID000004634,CID000032797,C0019284
CID000002541,4988,targets
9459,51517,interacts
CID000003345,CID005353980,C0030196
5371,904,interacts
3741,51075,interacts
CID000002806,CID000005391,C0917801
CID000003222,CID000216239,C0002170
CID000003203,CID000123620,C0027080
1445,7414,interacts
CID000002118,CID000004594,C0221706
CID000004170,CID000004829,C0015256
CID000003157,CID000004946,C0041834
2815,653781,interacts
CID000005245,CID005311297,C0024437
CID000005376,CID000038904,C0027651
CID000004946,CID000005487,C0033774
CID000000143,CID000005039,C0080274
CID000002088,CID000002244,C0020488
CID000002909,CID000005245,C0034902
CID000003333,CID000004599,C0231218
CID000004449,CID000005487,C0162283
6649,1337,interacts
CID000001775,CID000059708,C0017574
CID000004112,CID000004509,C0033774
CID000001983,CID000002806,C0162316
5230,5236,interacts
CID000004044,CID000005538,C0042963
CID000002771,CID000003877,C0085602
CID000003957,CID000004583,C0004623
CID000004666,CID000005039,C0032231
CID000000598,CID000004943,C0021311
CID000000450,CID000002802,C0005586
CID000004873,CID000004894,C0032308
CID000002650,CID000002907,C0034063
CID000001983,CID000003255,C0263912
CID000002160,CID000002541,C0013404
CID000004909,CID000087177,C0030252
CID000000450,CID000002284,C0009938
CID000004873,CID003085017,C0039240
CID000002585,CID000104865,C0038999
CID000004829,CID000005352,C0013604
CID000003957,CID000005391,C0149514
CID000002471,CID000060147,C1261473
CID000002118,CID000005203,C0206504
CID000002250,CID000003962,C0017574
CID000004034,CID000004666,C0005001
CID000002477,CID000004900,C0016977
CID000003042,CID000005735,C0085615
CID000003652,CID000005656,C0221776
CID000002764,CID000003902,C0149931
CID000002771,CID000003463,C0029443
130340,26258,interacts
2879,2952,interacts
CID000000853,CID000003736,C0008033
CID000002187,CID000002678,C0035078
CID000004259,CID000004946,C0004093
CID000002666,CID000003158,C0017152
CID000002764,CID000003461,C0012569
54802,8225,interacts
CID000005650,CID000068740,C0006277
CID000000564,CID000003640,C0027947
CID000003446,CID000005234,C0003615
CID000002812,CID000003365,C0009782
CID000003333,CID000004595,C0002962
CID000002666,CID000002713,C0013473
CID000001983,CID000003510,C1145670
CID000005408,CID000054454,C0016199
CID000004034,CID000005002,C0917798
CID000003648,CID000005735,C0037763
CID000002022,CID000003405,C0151723
CID000005372,CID000005538,C0344232
CID000003746,CID000004679,C0149520
CID000002622,CID000003937,C0004604
6464,3861,interacts
CID000003154,CID000004829,C0267596
CID000002022,CID000054374,C0019080
CID000004885,CID000005152,C0004093
CID000004873,CID000005245,C0149531
CID000003715,CID000004634,C0030193
CID000004585,CID000005732,C0080179
CID000003883,CID000005487,C0003564
CID000002554,CID000002895,C0159877
CID000002666,CID000005656,C0020458
CID000003957,CID000004091,C0010709
CID000003152,CID000005732,C0016204
6329,773,interacts
10921,6159,interacts
CID000000853,CID000004634,C0015967
CID000004583,CID000006691,C0019291
CID000004168,CID000148211,C0151786
CID000002162,CID000002662,C0003467
CID000002803,CID000003062,C0006325
51646,3115,interacts
117157,6504,interacts
CID000003672,CID000005771,C0007876
CID000003958,CID000004594,C0007642
CID000004889,CID000005090,C0018965
CID000002022,CID000003108,C0398353
2768,389816,interacts
79823,84787,interacts
4734,440738,interacts
CID000005544,CID000123620,C0030305
CID000003333,CID000005732,C0019294
109,2852,interacts
CID000003222,CID000004812,C0428977
CID000002576,CID000003386,C0015732
CID000004691,CID000004917,C0011991
CID000002083,CID000002274,C0016204
CID000002585,CID000002650,C0036983
CID000002617,CID000004485,C0151786
28956,8649,interacts
CID000004595,CID000093860,C0231528
CID000004159,CID000005732,C0497156
CID000003476,CID000004599,C0027441
CID000003032,CID000003652,C0002994
CID000002462,CID000004595,C0012813
CID000004171,CID000004679,C0003126
CID000000596,CID000002171,C0020621
CID000004917,3357,targets
CID000005544,CID000124087,C0020443
63931,100505503,interacts
CID000004889,CID005481350,C0041912
CID000000453,CID000004595,C0017675
CID000002311,CID000002662,C0030196
CID000004091,CID000006691,C0018800
6477,93611,interacts
CID000003446,CID000004171,C0003467
CID000004168,CID000004205,C0005758
CID000003222,CID000041781,C0009676
CID000003639,CID000005408,C0022658
CID000003386,CID000004943,C0042514
CID000004173,CID000005372,C0178428
CID000002435,CID000003158,C0151904
CID000005076,CID000005155,C0020676
CID000002764,CID000003826,C0009806
CID000003883,CID000005732,C0038999
2570,1080,interacts
CID000001117,CID000002622,C0041657
999,10631,interacts
CID000003446,CID000003652,C0022658
CID000003043,CID000005650,C0027051
CID000003062,CID000083786,C0009917
CID000005358,CID000125889,C0344232
CID000005245,CID000060835,C0020456
CID000004259,CID000004543,C0036983
CID000003032,CID000003108,C0027947
CID000003658,CID000010631,C0027947
CID000004091,CID005311048,C0014591
3021,1387,interacts
CID000003957,CID000005005,C0085649
CID000002022,CID000002891,C0012569
501,1429,interacts
4100,116447,interacts
CID000003157,CID000047725,C0012833
CID000000119,CID000002265,C0002874
CID000004917,CID000006691,C0085096
CID000001978,CID000003405,C0020433
CID000002662,CID000008953,C0032227
CID000002311,CID000003672,C0019158
CID000003559,CID000062924,C0000737
CID000000581,CID000003121,C0003504
4088,10014,interacts
CID000005203,CID000005734,C0522224
CID000003016,CID004183806,C0041582
CID000004889,CID000005090,C0004604
CID000002771,CID000003957,C0016034
57794,65109,interacts
CID000003658,CID000062924,C0005758
CID000005651,CID000054454,C0032227
CID000003222,CID000005090,C0042514
CID000002658,CID000123620,C0007859
CID000000942,CID000005391,C0027404
CID000002802,CID000003386,C0018021
CID000002269,CID000060865,C0003811
84128,64425,interacts
6227,10556,interacts
CID000002806,CID000003676,C0038379
23708,65110,interacts
CID000002269,CID006398970,C0522224
CID000005039,CID000087177,C0015469
CID000002244,CID000002284,C0020458
CID000002622,CID000003658,C0031039
CID000000853,CID000003325,C0020538
CID000003365,CID000005203,C0042487
55175,140461,interacts
49855,84466,interacts
CID000002650,CID000004510,C0085605
CID000002978,CID005311048,C0018674
CID000004635,CID000077999,C0023211
CID000005514,CID000123620,C0024586
CID000003161,CID000003957,C0149756
CID000003062,CID000003379,C0008033
CID000001972,CID000004666,C0011615
CID000003826,CID000004679,C0027404
CID000002617,CID000004943,C0019193
CID000004594,CID000005206,C0750426
CID000005523,CID000010631,C0004093
CID000000838,CID000004594,C0221706
CID000003883,CID000060835,C0039070
CID000003883,CID000119607,C0009763
CID000004674,CID000005267,C0041956
CID000002666,CID000002802,C0015408
CID000004171,CID000005478,C0006277
348235,151648,interacts
CID000001983,CID000002477,C0042267
CID000003440,CID000003652,C0013604
CID000002250,CID000005358,C0152021
CID000004909,CID000005203,C0022408
CID000002249,CID000004691,C0917801
CID000003121,CID000028112,C0015403
CID000002666,CID000005090,C0235527
CID000002891,CID000005267,C0004238
CID000000815,CID000003440,C0040259
CID000004170,CID000004205,C0034072
CID000002462,CID000004583,C0019360
1026,7314,interacts
CID000004594,CID000005533,C0264545
CID000003446,CID000004889,C0001418
CID000002812,CID000003016,C0023798
CID000002909,CID000004171,C0017658
CID000000853,CID000003062,C0003126
CID000003324,CID000004595,C0005961
CID000000450,CID000002088,C0041834
CID000002269,CID000004889,C0022408
CID000002550,CID000003954,C0011175
CID000002269,CID000004889,C0042487
7326,7311,interacts
CID000002806,CID000003345,C0034063
6601,2353,interacts
CID000002022,CID005353980,C0042769
CID000000450,CID000004594,C0028084
10456,8785,interacts
CID000004253,CID000004634,C0034186
CID000005650,CID000054454,C0151744
CID000000942,CID000003062,C0004096
79031,345651,interacts
CID000002308,CID000005544,C0003486
CID000003032,CID000004506,C0149745
7718,7745,interacts
5099,653220,interacts
80321,9099,interacts
CID000004679,CID005481350,C0022660
CID000006691,CID000060831,C0149514
CID000002609,CID003468412,C0027709
CID000000772,CID000004473,C0041909
10521,9782,interacts
CID000003690,CID000038904,C0034372
CID000005578,CID000005732,C1527336
CID000004485,CID000004595,C0040590
CID000004171,CID000131536,C0019163
CID000001302,CID000004170,C0027497
CID000004409,CID000028112,C0035410
CID000002907,CID000003222,C0151611
CID000004614,CID000062924,C0011991
CID000003365,CID000004583,C0006384
54101,81570,interacts
CID000001983,CID000004679,C0018681
CID000005376,CID000005656,C0243026
CID000004168,CID000176168,C0085624
CID000002907,CID000003003,C0023518
CID000003062,CID003468412,C0151904
CID000004885,CID000124087,C0398353
CID000003157,CID000004253,C0042029
CID000003157,CID000003961,C0002792
CID000005523,CID000119607,C0020649
2335,5049,interacts
2335,5793,interacts
CID000000444,CID000003883,C0013390
1662,705,interacts
83855,23309,interacts
CID000000450,CID000004691,C1384666
4853,5962,interacts
55299,3692,interacts
CID000003308,CID000005514,C0398353
CID000003157,CID000005267,C0023518
84988,81,interacts
CID000004168,CID000005544,C0041296
CID000003016,CID000003961,C0019196
CID000002083,CID000160051,C0398353
6625,58517,interacts
91522,1287,interacts
5290,2081,interacts
5594,4286,interacts
CID000004583,CID000119607,C0029878
CID000003461,CID000003746,C0015967
CID000002187,CID000003386,C0042487
50848,83700,interacts
CID000002462,CID000003075,C0035078
92,116254,interacts
CID000002812,CID000003345,C0011175
CID000002678,CID000005152,C0013604
CID000002662,CID000060147,C0149871
CID000005002,CID000010631,C0085602
CID000002022,CID000002576,C0013404
CID000001983,CID000003350,C0085649
CID000003405,CID005311297,C0020456
CID000002244,CID000003696,C0398353
5318,1000,interacts
CID000000772,CID000003958,C0019294
347731,653269,interacts
8881,898,interacts
CID000004510,CID000005267,C0003507
CID000003157,CID000005253,C0020538
CID000003348,CID000150311,C0002878
CID000003749,CID000004666,C0023211
CID000004171,CID000062924,C0152027
CID000004603,CID000083786,C0003578
CID000005376,CID000005512,C0000737
CID000003062,CID000003696,C0040822
CID000002284,CID000002477,C0028734
2547,545,interacts
CID000003899,CID000004679,C0014868
200576,382,interacts
CID000002818,CID000005073,C0012569
CID000004819,CID000005184,C0015672
4012,170589,interacts
CID000004205,CID000005391,C0014457
CID000000772,CID000003042,C0016382
CID000002284,CID000005732,C0085649
348158,223,interacts
CID000001690,CID000004900,C0023418
CID000004594,CID000004920,C0000737
CID000003386,CID000005426,C0010200
CID000004601,CID000005090,C0020557
CID000003405,CID000060953,C0008767
CID000002907,CID000004112,C0042963
CID000002249,CID000002818,C0006826
5080,6910,interacts
CID000002786,CID000004889,C0006325
CID000004205,CID000005064,C0020615
CID000003062,CID000004900,C0003507
CID000002462,CID000060852,C0149531
CID000003365,CID000005656,C0016053
CID000003958,CID000005203,C0042847
CID000004900,CID000005095,C0030554
CID000003878,CID000059708,C0008350
CID000002802,CID000005719,C0041582
CID000003890,CID000004052,C0575081
CID000003348,CID000003476,C0392525
CID000002487,CID000003066,C0020162
CID000004253,CID000041781,C0271650
CID000003937,CID000004170,C0006325
CID000002541,CID000003114,C0002871
CID000002541,CID000003648,C0018801
CID000000853,CID000005538,C0017168
CID000003446,CID000004212,C0318712
CID000002435,CID000006691,C0007282
CID000003463,CID000060835,C0011860
54971,149069,interacts
CID000002269,CID000004583,C0015230
CID000003715,CID000004585,C0220981
CID000000937,CID000002250,C0001339
CID000002662,CID000004691,C0036454
CID000002650,CID000003440,C0151904
CID000003958,CID000004635,C0015672
CID000000450,CID000002662,C0086543
CID000003488,CID000003652,C0037299
CID000001983,CID000003510,C0007859
CID000003958,CID000004635,C0017181
1994,22976,interacts
CID000002678,CID000004635,C0151798
CID000002771,CID000065999,C0042029
8529,242,interacts
81929,10814,interacts
51099,7051,interacts
CID000000206,CID000003325,C0836924
CID000004205,CID000005647,C0009806
CID000003386,CID000004058,C0013384
CID000003672,CID000004510,C0026780
CID000003961,CID004475485,C0318712
CID000002907,CID000003222,C0006840
CID000003348,CID004183806,C0009938
CID000003958,CID000004943,C0023518
CID000004691,CID000005523,C1260880
CID000003345,CID000038904,C0242422
6777,5599,interacts
CID000005672,CID000060953,C0015645
CID000002650,CID000003032,C0034150
CID000005253,CID004475485,C0314719
CID000060147,CID000150311,C0007117
CID000003937,CID000104865,C0033774
CID000004740,CID000004917,C0020649
CID000003365,CID004475485,C0032584
CID000003333,CID000004594,C0016204
CID000003488,CID000005155,C0001339
CID000003222,CID000004873,C0026764
CID000004583,CID000006691,C0079035
CID000005530,CID000062924,C0575090
CID000004873,CID000083786,C0003123
CID000125889,CID005311297,C0035522
CID000002662,CID000059708,C0017574
CID000002162,CID000003324,C0027947
CID000000772,CID000002283,C0085615
CID000003003,CID000060865,C0085649
CID000004091,CID000060147,C0018621
CID000000772,CID000005002,C0013182
CID000004679,CID000005487,C0016053
200959,65010,interacts
90678,57037,interacts
CID000003883,CID000104741,C0030193
CID000003676,CID000004616,C0003564
5519,65123,interacts
CID000002249,CID000003715,C0018800
CID000000444,CID000002474,C0917799
CID000004634,CID000024486,C0041755
CID000003339,CID000005203,C0036341
CID000003961,CID000005245,C0235527
CID000001117,CID000002631,C0497156
8452,5238,interacts
29127,3428,interacts
CID000003676,CID000003826,C0018926
CID000001775,CID000054454,C0020443
CID000002269,CID000004679,C0041582
CID000004674,CID000093860,C0003862
CID000000596,CID000002162,C0030446
CID000002786,CID006398525,C0004093
CID000001302,CID000005002,C0019189
CID000005077,CID000005095,C0039231
CID000001775,CID000004635,C0151786
CID000001302,CID000004171,C0024236
CID000002803,CID000004409,C0033975
5894,5529,interacts
CID000003148,CID000005358,C0035522
CID000004159,CID000004917,C0043352
CID000003883,CID000003961,C0010200
CID000003559,CID000005556,C0042514
CID000002803,CID000003333,C0024103
CID000003937,CID000004205,C0026769
CID000002764,CID000004539,C0085631
CID000004873,CID000005039,C0020443
CID000005090,CID000005647,C0231218
CID000003121,CID000003161,C0010054
CID000003478,CID000071329,C0030554
CID000003345,CID000077999,C0026821
CID000001690,CID000002578,C0206062
7175,51639,interacts
CID000003750,CID000003954,C0019360
5723,55258,interacts
CID000002617,CID000003440,C0085631
CID000027661,CID000056959,C0009806
CID000002160,CID000004585,C0001948
CID000003784,CID000004171,C0015672
CID000005005,CID000060795,C0020456
CID000002806,CID000003961,C0151827
CID000002311,CID000150311,C0007282
51763,1024,interacts
130557,653269,interacts
CID000004212,CID000068740,C0011124
CID000003032,CID004183806,C0016663
55617,2957,interacts
CID000003365,CID000004585,C0004623
CID000003203,CID000005523,C0003874
CID000002249,CID000004034,C0010200
CID000004253,CID000004635,C0026948
5880,83933,interacts
CID000003878,CID000003937,C0004096
CID000002576,CID000003639,C0035455
CID000005297,CID000005651,C0003962
CID000003075,CID000003639,C0015403
6418,3659,interacts
25766,84967,interacts
CID000000853,CID000004236,C0442874
CID000004170,CID005493381,C0151904
CID000000450,CID000002895,C0242184
27339,6631,interacts
CID000002477,CID000003962,C0232492
CID000004691,CID000005064,C0011175
CID000003962,CID000004889,C0011124
54101,27107,interacts
CID000005029,CID000005412,C0023530
CID000002311,CID000003350,C0004093
CID000002771,CID000004829,C0035305
CID000003255,CID000005038,C0014130
CID000002764,CID000004510,C0016199
CID000002160,CID000003825,C0032231
55326,10555,interacts
CID000004253,CID000060835,C0020621
CID000002764,CID000003249,C0018932
CID000003911,CID000005523,C0009676
CID000003419,CID000004740,C0013604
CID000002650,CID000003003,C0038362
CID000002022,CID000002891,C0019079
CID000003883,CID000087177,C0017181
CID000002083,CID000004236,C0020621
CID000002658,CID000004594,C0014518
CID000002678,CID000005466,C0042963
CID000004171,CID000123620,C0007280
64773,386682,interacts
7542,51614,interacts
2153,10447,interacts
CID000003658,CID000003672,C1145670
CID000003488,CID000004583,C0002170
CID000003003,CID000060953,C0024121
CID000002678,CID000004543,C0018021
CID000002610,CID000060865,C0030319
CID000002083,CID000170361,C0026764
CID000002806,CID000003222,C0033687
CID000002806,CID000002895,C0011849
CID000003825,CID000004900,C0030252
CID000005408,CID000123620,C0016382
CID000003350,CID000004740,C0398353
CID000003350,CID000005267,C0151786
996,7272,interacts
CID000002726,CID000003405,C0004238
CID000002435,CID000003016,C0004245
CID000003255,CID000004635,C0009324
CID000004585,CID006398525,C0438215
CID000000937,CID000002554,C0019080
10921,6133,interacts
CID000001983,CID000003958,C0002884
51307,9462,interacts
CID000004583,CID000060843,C0750426
CID000003958,CID000004674,C0178415
CID000004679,CID000004885,C0020649
CID000001117,CID000005267,C0027651
CID000003883,CID000004909,C0085680
CID000002160,CID000002666,C0012813
CID000003559,CID000004946,C0043094
CID000001302,CID000004691,C0030446
CID000005391,CID000083786,C0007570
CID000005523,CID000005544,C0024121
CID000002265,CID000003157,C0032227
CID000004170,CID000006691,C0162316
CID000002909,CID000004168,C0018926
CID000001065,CID005487301,C0020456
CID000003003,CID000123620,C0031117
CID000003825,CID000004900,C0034065
201163,10963,interacts
CID000002022,CID000003676,C0522224
CID000003333,CID000003899,C0032285
CID000002658,CID000003121,C0004096
CID000002477,CID000003152,C0012833
CID000002617,CID000003003,C0010043
CID000000450,CID000005090,C0006277
51776,7532,interacts
CID000004158,CID000006691,C0036974
CID000002909,CID000003308,C0022660
CID000003715,CID000004168,C0018932
CID000003715,CID000004513,C0042963
CID000004679,CID000004745,C0004604
CID000005203,CID000005647,C0042109
CID000110635,CID000123620,C0010709
CID000000596,CID000001983,C0027947
CID000001690,CID000005978,C0006625
CID000004510,CID000004594,C0041755
CID000004170,CID000005650,C0015468
CID000003405,CID000005578,C0014869
CID000003661,CID000005358,C0013144
CID000027991,118442,targets
CID000004585,CID000054454,C0018021
CID000002118,CID000054454,C0006325
5997,28964,interacts
CID000004594,CID005487301,C0009324
CID000002477,CID000005514,C0220983
CID000002311,CID000004205,C0007787
CID000004594,CID000005391,C0039504
CID000004946,CID000005267,C0558489
CID000003890,CID000003957,C0042487
CID000005212,CID000104865,C0042594
CID000003446,CID000005005,C0042963
CID000003062,CID000003826,C0026769
84844,11051,interacts
CID000000937,CID000003440,C0043094
CID000004485,CID000005039,C0010823
CID000005038,CID000005472,C0018524
388695,770,interacts
CID000004603,CID000004635,C0038454
CID000003958,CID000004603,C0595939
1769,10606,interacts
CID000004917,CID000032797,C0039239
CID000004091,CID000005523,C0001418
CID000000214,CID000003478,C0085631
CID000003676,CID000005735,C0030196
CID000003393,CID000004585,C0027121
57571,197322,interacts
CID000002895,CID000004917,C0015672
CID000002269,CID000005234,C0020625
CID000002806,CID000004178,C0151744
CID000005732,CID000060843,C0151786
84950,8726,interacts
23181,166,interacts
CID000002907,CID000005039,C0035522
CID000003672,CID000004674,C0028081
CID000003121,CID000003883,C0018916
CID000000853,CID000002249,C0029443
CID000002806,CID000005544,C0005818
CID000005391,CID000008953,C0001122
80143,80342,interacts
CID000005029,CID000060831,C0178415
CID000002160,CID000005090,C0018824
CID000002658,CID000003516,C0006444
CID000001302,CID000003382,C0037928
CID000000444,CID000004583,C0000737
7486,79132,interacts
2781,55144,interacts
9117,6809,interacts
CID000000581,CID000004594,C0438215
CID000003696,CID000004052,C0003864
CID000000596,CID000002022,C0424230
CID000003958,CID000004236,C0085680
CID000003446,CID000004201,C0020461
CID000004058,CID000004900,C0020456
CID000002576,CID000004171,C0231807
CID000004171,CID000443871,C0018824
6776,9063,interacts
CID000000853,CID000034312,C0265031
CID000004595,CID000005672,C0040460
CID000002118,CID000003640,C0038999
CID000002622,CID003062316,C0019080
CID000003367,CID000003957,C0004610
CID000003121,CID000003152,C0020598
CID000003899,CID000005267,C0018808
57089,79867,interacts
CID000000444,CID000000853,C0085631
CID000001302,CID000004044,C0026975
CID000002764,CID000003203,C1257843
CID000059708,CID000060795,C0243026
CID000004138,CID000005234,C0151904
CID000002462,CID000003749,C0438215
CID000003365,CID000074989,C0003862
CID000000450,CID000005029,C0031039
79050,51096,interacts
CID000005596,CID000125889,C0497156
CID000000853,CID003062316,C0008325
CID000002156,CID000005372,C0006852
CID000002771,CID000004900,C0016977
51065,2065,interacts
CID000005376,CID000019090,C0030196
CID000001117,CID000002250,C0006266
CID000004168,CID000125889,C0002453
8454,6227,interacts
6206,56006,interacts
CID000004075,CID000005029,C0085636
CID000005514,CID000005533,C0027404
CID000001065,CID000125889,C0013395
CID000002471,CID000004634,C0318712
1545,1595,interacts
CID000003715,CID000005656,C0018790
CID000002462,CID000005391,C0151766
CID000003467,CID000004112,C0042133
CID000003640,CID000004900,C0007784
CID000004679,CID005311039,C0151723
CID000003883,CID005353980,C0027430
CID000002666,CID000005073,C0003962
5682,329,interacts
CID000003405,CID000005253,C0009676
CID000000772,CID000002524,C0878544
CID000002895,CID000004679,C0018989
CID000003350,CID000003516,C0042029
CID000002678,CID000004829,C0019360
4624,1769,interacts
CID000002802,CID000002955,C0019079
CID000002520,CID000005650,C0242379
CID000001983,CID000002512,C0012833
CID000004889,CID000054454,C1136085
CID000002520,CID000003890,C0004623
CID000003386,CID000060852,C0009806
29761,123228,interacts
CID000002477,CID000003672,C0003862
CID000003157,CID000065999,C1527407
CID000001983,CID000004091,C0001430
CID000148192,CID000170361,C0019360
CID000002477,CID000003676,C0032290
CID000002803,CID000004946,C0014724
CID000005719,CID000123620,C0023211
CID000000444,CID000003393,C0019322
CID000002666,CID000003825,C0152031
CID000004594,CID000054374,C0151766
CID000002554,CID000003902,C0038395
23381,10482,interacts
CID000005650,CID000047725,C0520474
CID000003062,CID000005253,C0018802
CID000002622,CID000004583,C0004144
CID000002244,CID000003203,C0038663
CID000004635,CID000004873,C0003123
2752,3106,interacts
CID000003826,CID000005656,C0038663
CID000003339,CID000003488,C0011206
5684,10385,interacts
CID000002022,CID000003767,C0027051
CID000004829,CID000060865,C0035309
CID000002435,CID000004112,C0004623
CID000001690,CID000003877,C0009319
CID000002477,CID000003715,C0003862
CID000003222,CID000003696,C0030196
CID000004205,CID000123620,C0015672
CID000004679,CID000104741,C0020538
CID000002118,CID000003488,C0020649
CID000002156,CID000004927,C0008031
CID000005234,CID000005267,C0031039
CID000005073,CID000123620,C0006266
CID000003403,CID000003405,C1145670
CID000005391,CID000093860,C0000731
CID000003042,CID000004927,C0002962
CID000005234,CID000083786,C0034902
CID000001117,CID000003440,C0151825
4780,83990,interacts
CID000003958,CID000071616,C0085624
CID000004189,CID000004583,C0038362
CID000003883,CID000005372,C0006849
CID000003405,CID004475485,C0030305
CID000038904,CID000123620,C0020651
CID000005002,CID000005379,C0917801
CID000001978,CID000002656,C0027707
CID000002756,CID000083786,C0021400
CID000002311,CID000003878,C0085681
CID000002676,CID000005090,C0231528
CID000003143,CID000005090,C0151825
CID000004253,CID000005203,C0024205
CID000003826,CID000054454,C0018681
55294,51725,interacts
CID000000444,CID000002160,C0016242
CID000003672,CID000004829,C0030446
CID000002142,CID000004900,C0007784
CID000002812,CID000003640,C0000833
CID000002284,CID000003958,C0004093
CID000003463,CID000005064,C0039070
CID000002802,CID000003446,C0158252
CID000002162,CID000005572,C0036974
CID000002666,CID000005352,C0085649
1959,58508,interacts
CID000003784,CID000003902,C0018800
CID000002269,CID004475485,C0002871
CID000000271,CID000008953,C0456909
55330,1838,interacts
CID000005203,CID006398525,C0012813
CID000004900,CID000060831,C0017979
CID000002267,CID000005090,C0017152
CID000004583,CID000005391,C0035522
CID000001117,CID000005512,C0398353
CID000001983,CID000004058,C0162529
CID000002088,CID000027661,C0149871
CID000002160,CID000004873,C0007642
CID000005245,CID000150311,C0000737
CID000004107,CID000006691,C0024117
CID000005035,CID005353980,C0178282
CID000003325,CID000004594,C0030252
5437,728340,interacts
CID000004173,CID000010631,C0026848
CID000002088,CID000005408,C0024115
CID000003348,CID000003672,C0038358
CID000002802,CID000004159,C0026946
CID000000453,CID000001117,C0032227
CID000002806,CID000004594,C0037998
CID000003075,CID000004900,C0001948
79501,645051,interacts
CID000003715,CID005353980,C0010054
CID000003405,CID000003702,C0236048
CID000003672,CID000028112,C0277925
CID000047725,CID000060198,C0023895
5568,8346,interacts
CID000002244,CID000002476,C0018801
339416,8565,interacts
CID000002764,CID000005732,C0151636
CID000003143,CID000003463,C0009676
CID000002756,CID000003661,C0022660
CID000003648,CID000004543,C0004096
CID000004943,CID000071273,C0032617
CID000002617,CID000004058,C0011615
CID000003405,CID000005732,C0034902
CID000003961,CID000010631,C0553723
CID000002666,CID000059708,C0002622
CID000002160,CID000005408,C0018965
CID000004091,CID000005523,C0003811
5686,140809,interacts
CID000003365,CID000003746,C0011609
CID000004513,CID000005203,C0033774
CID000000772,CID000003016,C0034212
CID000003954,CID000176870,C0006144
CID000003672,CID000004583,C0030196
CID000003158,CID000003463,C0011175
CID000004091,CID000123620,C0020456
7341,841,interacts
CID000004205,CID000005203,C0152032
CID000004547,CID000005212,C0022346
CID000003121,CID000004107,C0032227
CID000003478,CID000003890,C0020517
57187,55425,interacts
CID000002907,CID000003640,C0162297
CID000004158,CID000005379,C0040822
CID000000838,CID000003929,C0023530
CID000000853,CID000087177,C0020456
CID000002802,CID000003958,C0020505
CID000005035,CID000060865,C0010709
CID000003440,CID000004614,C0004093
51561,50616,interacts
CID000002678,CID000123620,C0026769
